"账号ID","原线路名称","类型","所属分组","协议平台","清理前状态","当前调度状态","处理分类","依据"
"7390","api.nvtokens.com / Chat Completions + Responses","原有","Codex | Pro号池","openai","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7391","https://jinnyapi.com/","原有","Gemini","openai","error","异常 / 停用","复测通过，保留","复测 gemini-2.5-flash 成功；未据此认定其他模型全部可用"
"7393","https://api.tcvps.cn/","原有","Gemini","gemini","active","已暂停","专用模型待验证，保留","包含图片等专用模型，现有文本探针无法完整验证，不能据此删除整条线路"
"7394"," https://api.mouubox.com/","原有","Codex | Sale号池","openai","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7396","cdn.9527code.com / Anthropic Messages","原有","ClaudeCode-Max","anthropic","active","允许调度","复测通过，保留","复测 claude-fable-5-1 成功；未据此认定其他模型全部可用"
"7397","yidianaichat.com / Chat Completions + Responses","原有","Codex | Plus号池","openai","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7398","api.novaris.com.cn / Chat Completions + Responses","原有","Codex | Plus号池","openai","error","异常 / 停用","复测通过，保留","复测 gpt-5.6-sol 成功；未据此认定其他模型全部可用"
"7399","www.airelay.pro / Chat Completions + Responses","原有","Codex | Plus号池","openai","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7400","ai.youc.online / Chat Completions + Responses","原有","Codex | Plus号池","openai","error","已删除","已删除","5 个模型多轮均失败，删除前复查仍无成功结果"
"7401","banliapi.top / Anthropic Messages","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7402","pool.chaozhiyuanai.com / Chat Completions + Responses","原有","Codex | Plus号池","openai","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7403","routex.best / Anthropic Messages","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7404","fast.maidoucoding.online / Anthropic Messages","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7405","newapi.dragon3api.com / Anthropic Messages","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","复测通过，保留","复测 claude-fable-5 成功；未据此认定其他模型全部可用"
"7406","gpt.mzlone.top / Anthropic Messages","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","复测通过，保留","复测 claude-haiku-4-5-20251001 成功；未据此认定其他模型全部可用"
"7408","https://byecore.com/","原有","Codex | Plus号池","openai","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7410","https://token.91topgo.com/","原有","Grok","grok","active","允许调度","单次超时，保留","本次抽查超时；一次超时不足以判定整条线路持续失败"
"7411","https://banliapi.top","原有","Codex | Plus号池","openai","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7413","https://api.mouubox.com/","原有","Codex | Plus号池","openai","error","异常 / 停用","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7414","https://www.loomex.cc/","原有","Codex | Plus号池","openai","active","已删除","已删除","5 个模型多轮均失败，删除前复查仍无成功结果"
"7415","Anc1ent API · GPT Plus | 特惠分组 · signal-09b74cea5117","新推送","Codex | Sale号池","openai","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7416","byecore · Claude-Kiro · signal-24b5177f4e50","新推送","ClaudeCode-Kiro逆向","anthropic","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7417","Bot Compute Fabric · 💸grok-promo · signal-57d2873e292a","新推送","Grok","grok","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7418","Bot Compute Fabric · 🪐gemini-antigravity · signal-292356860e48","新推送","Gemini","openai","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7419","板栗API · gemini · signal-5e15b3d49c94","新推送","Gemini","openai","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7420","Bot Compute Fabric · ⚓codex-plus · signal-82fbe240927c","新推送","Codex | Plus号池","openai","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7421","小白API · codex-特惠通道 · signal-6e70a16cf522","新推送","Codex | Sale号池","openai","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7422","刘总 · gptproo · signal-4c23cc22169d","新推送","Codex | Pro号池","openai","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7423","刘总 · gptplus · signal-779530388d0f","新推送","Codex | Plus号池","openai","active","允许调度","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7424","小白API · kiro 90缓存（1m） · signal-f2bdd1a3a8c3","新推送","ClaudeCode-Kiro逆向","anthropic","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7425","Loomex · Kimi【满血-阿里渠道】 · signal-b8377833af90","新推送","Kimi","openai","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7426","Loomex · Gemini（Antigravity全模型） · signal-d67006ddf829","新推送","Gemini","openai","active","已暂停","新推送保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
